K0 300G vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04       i03
1.1850e+02 1.2167e-14 1.1115e-14 1.1077e-14 1.1272e-14 1.1739e-14 1.2581e-14 1.3762e-14 1.6002e-14 2.0183e-14
1.1950e+02 1.4119e-14 1.3043e-14 1.3078e-14 1.3362e-14 1.3941e-14 1.4948e-14 1.6344e-14 1.8956e-14 2.3790e-14
1.2050e+02 1.6894e-14 1.5667e-14 1.5718e-14 1.6059e-14 1.6740e-14 1.7925e-14 1.9568e-14 2.2628e-14 2.8278e-14
1.2150e+02 2.0342e-14 1.8926e-14 1.8989e-14 1.9389e-14 2.0189e-14 2.1583e-14 2.3510e-14 2.7099e-14 3.3715e-14
1.2250e+02 2.4533e-14 2.2820e-14 2.2858e-14 2.3282e-14 2.4187e-14 2.5790e-14 2.8044e-14 3.2209e-14 3.9966e-14
1.2350e+02 3.0747e-14 2.8389e-14 2.8280e-14 2.8678e-14 2.9673e-14 3.1527e-14 3.4192e-14 3.9202e-14 4.8653e-14
1.2450e+02 3.0765e-14 2.7754e-14 2.6375e-14 2.5478e-14 2.5062e-14 2.5066e-14 2.5548e-14 2.6951e-14 3.0063e-14
1.2550e+02 3.8107e-14 3.4306e-14 3.2468e-14 3.1210e-14 3.0599e-14 3.0524e-14 3.1044e-14 3.2672e-14 3.6369e-14
1.2650e+02 4.4968e-14 4.0682e-14 3.8674e-14 3.7327e-14 3.6681e-14 3.6650e-14 3.7301e-14 3.9242e-14 4.3642e-14
1.2750e+02 5.4947e-14 4.9659e-14 4.7117e-14 4.5381e-14 4.4517e-14 4.4425e-14 4.5154e-14 4.7424e-14 5.2630e-14
1.2850e+02 6.6209e-14 5.9861e-14 5.6792e-14 5.4683e-14 5.3613e-14 5.3484e-14 5.4328e-14 5.6998e-14 6.3143e-14
1.2950e+02 7.9379e-14 7.1871e-14 6.8216e-14 6.5693e-14 6.4393e-14 6.4219e-14 6.5192e-14 6.8303e-14 7.5529e-14
1.3050e+02 9.3180e-14 8.4708e-14 8.0685e-14 7.7947e-14 7.6547e-14 7.6430e-14 7.7643e-14 8.1352e-14 8.9844e-14
1.3150e+02 1.1202e-13 1.0183e-13 9.6891e-14 9.3467e-14 9.1693e-14 9.1465e-14 9.2837e-14 9.7146e-14 1.0708e-13
1.3250e+02 1.3230e-13 1.2059e-13 1.1493e-13 1.1101e-13 1.0898e-13 1.0874e-13 1.1037e-13 1.1545e-13 1.2706e-13
