K0 100G vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04       i03
1.5550e+02 4.8047e-12 4.1791e-12 3.7466e-12 3.3340e-12 2.9839e-12 2.6826e-12 2.4249e-12 2.2058e-12 2.0444e-12
1.5650e+02 5.1655e-12 4.5186e-12 4.0712e-12 3.6396e-12 3.2688e-12 2.9520e-12 2.6813e-12 2.4518e-12 2.2822e-12
1.5750e+02 6.5972e-12 5.7669e-12 5.1888e-12 4.6350e-12 4.1555e-12 3.7319e-12 3.3536e-12 3.0220e-12 2.7555e-12
1.5850e+02 7.6427e-12 6.6877e-12 6.0182e-12 5.3784e-12 4.8180e-12 4.3200e-12 3.8785e-12 3.4841e-12 3.1637e-12
1.5950e+02 8.5804e-12 7.5120e-12 6.7614e-12 6.0437e-12 5.4151e-12 4.8562e-12 4.3602e-12 3.9175e-12 3.5541e-12
1.6050e+02 9.6489e-12 8.4565e-12 7.6136e-12 6.8074e-12 6.0987e-12 5.4719e-12 4.9116e-12 4.4107e-12 4.0004e-12
1.6150e+02 1.0706e-11 9.3851e-12 8.4524e-12 7.5550e-12 6.7735e-12 6.0834e-12 5.4658e-12 4.9134e-12 4.4647e-12
1.6250e+02 1.2021e-11 1.0566e-11 9.5287e-12 8.5412e-12 7.6696e-12 6.8899e-12 6.1896e-12 5.5665e-12 5.0468e-12
1.6350e+02 1.3632e-11 1.1988e-11 1.0823e-11 9.7115e-12 8.7347e-12 7.8614e-12 7.0765e-12 6.3700e-12 5.7715e-12
1.6450e+02 1.6537e-11 1.4551e-11 1.3135e-11 1.1789e-11 1.0598e-11 9.5176e-12 8.5320e-12 7.6262e-12 6.8461e-12
1.6550e+02 1.5351e-11 1.3644e-11 1.2421e-11 1.1238e-11 1.0198e-11 9.2570e-12 8.4075e-12 7.6366e-12 6.9833e-12
1.6650e+02 1.9952e-11 1.7646e-11 1.5985e-11 1.4396e-11 1.2986e-11 1.1695e-11 1.0518e-11 9.4318e-12 8.4865e-12
1.6720e+02 1.8581e-11 1.6523e-11 1.5035e-11 1.3596e-11 1.2329e-11 1.1189e-11 1.0147e-11 9.2054e-12 8.4038e-12
1.6770e+02 1.8138e-11 1.5841e-11 1.4104e-11 1.2588e-11 1.1199e-11 9.8902e-12 8.6357e-12 7.3361e-12 6.0283e-12
1.6850e+02 2.1600e-11 1.8884e-11 1.6799e-11 1.4987e-11 1.3313e-11 1.1720e-11 1.0177e-11 8.5801e-12 6.9685e-12
1.6950e+02 2.7441e-11 2.4144e-11 2.1492e-11 1.9144e-11 1.6953e-11 1.4848e-11 1.2779e-11 1.0613e-11 8.4214e-12
1.7050e+02 3.1696e-11 2.7756e-11 2.4648e-11 2.1896e-11 1.9339e-11 1.6897e-11 1.4504e-11 1.2006e-11 9.4721e-12
1.7150e+02 3.2901e-11 2.8426e-11 2.5144e-11 2.2285e-11 1.9693e-11 1.7225e-11 1.4829e-11 1.2293e-11 9.7588e-12
1.7250e+02 3.9269e-11 3.4053e-11 3.0194e-11 2.6819e-11 2.3725e-11 2.0754e-11 1.7835e-11 1.4730e-11 1.1611e-11
1.7350e+02 4.4192e-11 3.8193e-11 3.3818e-11 3.0006e-11 2.6522e-11 2.3171e-11 1.9874e-11 1.6374e-11 1.2843e-11
1.7450e+02 5.3023e-11 4.6019e-11 4.0801e-11 3.6239e-11 3.2045e-11 2.7985e-11 2.3945e-11 1.9653e-11 1.5321e-11
1.7550e+02 6.2989e-11 5.4298e-11 4.7891e-11 4.2322e-11 3.7224e-11 3.2316e-11 2.7435e-11 2.2261e-11 1.7071e-11
1.7650e+02 6.5055e-11 5.6831e-11 5.0501e-11 4.4893e-11 3.9686e-11 3.4635e-11 2.9599e-11 2.4215e-11 1.8770e-11
1.7750e+02 7.0685e-11 6.1282e-11 5.4218e-11 4.8036e-11 4.3467e-11 3.6861e-11 3.1429e-11 2.5663e-11 1.9853e-11
1.7850e+02 8.7026e-11 7.5698e-11 6.7195e-11 5.9721e-11 5.2821e-11 4.6112e-11 3.9351e-11 3.2121e-11 2.4712e-11
1.7950e+02 9.3333e-11 8.0445e-11 7.1044e-11 6.2939e-11 5.5374e-11 4.8133e-11 4.0872e-11 3.3149e-11 2.5295e-11
1.8050e+02 1.0592e-10 9.2766e-11 8.2643e-11 7.3647e-11 6.5249e-11 5.7033e-11 4.8696e-11 3.9738e-11 3.0510e-11
1.8150e+02 1.0833e-10 9.4926e-11 9.1392e-11 8.1001e-11 6.6457e-11 5.7950e-11 4.9386e-11 4.0213e-11 3.0876e-11
1.8250e+02 1.2557e-10 1.1077e-10 9.8992e-11 8.8398e-11 7.8401e-11 6.8580e-11 5.8552e-11 4.7762e-11 3.6568e-11
1.8350e+02 1.3815e-10 1.2148e-10 1.0828e-10 9.6462e-11 8.5345e-11 7.4433e-11 6.3296e-11 5.1340e-11 3.9032e-11
1.8450e+02 1.3137e-10 1.1673e-10 1.0487e-10 9.4116e-11 8.3895e-11 7.3807e-11 6.3557e-11 5.2533e-11 4.1065e-11
1.8550e+02 1.5617e-10 1.3768e-10 1.2294e-10 1.0967e-10 9.7102e-11 8.4748e-11 7.2201e-11 5.8719e-11 4.4875e-11
1.8650e+02 1.8095e-10 1.5895e-10 1.4191e-10 1.2676e-10 1.1253e-10 9.8520e-11 8.4213e-11 6.8765e-11 5.2696e-11
1.8750e+02 1.9619e-10 1.7253e-10 1.5393e-10 1.3728e-10 1.2159e-10 1.0618e-10 9.0421e-11 7.3412e-11 5.5817e-11
1.8850e+02 2.1406e-10 1.8849e-10 1.6838e-10 1.5040e-10 1.3343e-10 1.1672e-10 9.9619e-11 8.1098e-11 6.1833e-11
