wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
430.07259 1.4593935328325137e-05 1.3304212739946653e-05 1.2033172317379898e-05 1.0792478758885542e-05 9.600641709424278e-06 8.473578683230407e-06 7.42867811783302e-06 6.471726505463988e-06 5.5920652865294615e-06
430.07345 1.5278020891507005e-05 1.3895502518234588e-05 1.252987791435225e-05 1.1198198940509393e-05 9.922792853660188e-06 8.721671925826683e-06 7.614540056518143e-06 6.6079516449129825e-06 5.691819327807269e-06
430.07431 1.5947007208397004e-05 1.4460380510951385e-05 1.2988767186045394e-05 1.1561227971900692e-05 1.0203271613521778e-05 8.93393709528764e-06 7.773670955374812e-06 6.727790318026316e-06 5.784905738320924e-06
430.07517 1.6534896644442855e-05 1.4920946789006092e-05 1.3335063599110579e-05 1.1817302748256444e-05 1.03904629625226e-05 9.070903647085775e-06 7.876661536683667e-06 6.809960933890791e-06 5.856629130190629e-06
430.07603 1.693206516837069e-05 1.516675771940337e-05 1.3477630616190585e-05 1.1896157528033823e-05 1.0431659409250806e-05 9.09266817027945e-06 7.892943644000632e-06 6.831081906334018e-06 5.8890051660172144e-06
430.07689 1.694770777812674e-05 1.505730425635027e-05 1.3319019171724837e-05 1.1728223135911825e-05 1.0275339827930602e-05 8.960275062034726e-06 7.792480098324856e-06 6.767080411697384e-06 5.860475122614494e-06
430.07775 1.6332913732420665e-05 1.4452878623946441e-05 1.2774387213754086e-05 1.1257740698274565e-05 9.882671327432814e-06 8.645495862119212e-06 7.5533765875486515e-06 6.597925355087316e-06 5.74776962670298e-06
430.07861 1.4944487453894675e-05 1.3292823268061402e-05 1.1816334164375404e-05 1.0473909720781852e-05 9.2515115389371e-06 8.149124877214857e-06 7.1737265355221855e-06 6.314283971658604e-06 5.531811048796114e-06
430.07947 1.2952835318155082e-05 1.1689192016883318e-05 1.052864932199995e-05 9.443331569495946e-06 8.433536430679728e-06 7.507358919287809e-06 6.674442735406917e-06 5.923744341843493e-06 5.209422856300011e-06
430.08033 1.07700652943489e-05 9.911447678468715e-06 9.103131751258226e-06 8.30578561200642e-06 7.529140031753545e-06 6.790611900709485e-06 6.104308669619157e-06 5.4598451020243845e-06 4.806894454079671e-06
430.08119 8.75712757072765e-06 8.25527815187998e-06 7.764413494769133e-06 7.2282889430378235e-06 6.6622370244827605e-06 6.091728718828839e-06 5.5342368627777105e-06 4.980928584757923e-06 4.382933854576563e-06
430.08205 7.141971777410742e-06 6.945151543271033e-06 6.70040232396903e-06 6.361357064325255e-06 5.952762255399794e-06 5.5070164089360554e-06 5.0444361662058e-06 4.559691286773218e-06 4.010467197235598e-06
430.08291 6.101102569734312e-06 6.143390540989182e-06 6.050559520093021e-06 5.820396471067375e-06 5.496786355939151e-06 5.118300639145687e-06 4.707376276973317e-06 4.262594238554845e-06 3.7494419105380944e-06
430.08377 5.795316122939061e-06 5.96881673969314e-06 5.903956949418683e-06 5.678233266424672e-06 5.356207630415607e-06 4.980135154797918e-06 4.5718897772036766e-06 4.131725807001424e-06 3.6311819702677705e-06
430.08463 6.35970179071022e-06 6.4566617484129126e-06 6.2695383483262725e-06 5.9426248202386095e-06 5.54252546576185e-06 5.106428060138818e-06 4.651845935222545e-06 4.17805911992043e-06 3.660133778761196e-06
430.08549 7.711044698191366e-06 7.480741395645934e-06 7.0473488010499e-06 6.543202442342816e-06 6.008860418261439e-06 5.466342727239698e-06 4.926219546577146e-06 4.385858548179621e-06 3.823017538511229e-06
430.08635 9.403061542275919e-06 8.754899763216354e-06 8.052223450957546e-06 7.353921433566482e-06 6.666413088944797e-06 5.995863453331342e-06 5.347460276458099e-06 4.718447257152719e-06 4.091450117702371e-06
430.08721 1.0927540520752113e-05 9.99406131613891e-06 9.10065344247757e-06 8.245953296472152e-06 7.419380963727592e-06 6.62054472239143e-06 5.855490358641928e-06 5.1258231243788225e-06 4.422550567160135e-06
430.08807 1.2117301031240858e-05 1.1096319795575597e-05 1.0112114851955194e-05 9.149765428882088e-06 8.20603445923876e-06 7.285588561599123e-06 6.401340717999768e-06 5.56277094831576e-06 4.771504939940315e-06
430.08893 1.3165732385384523e-05 1.2161972178830617e-05 1.11280755315202e-05 1.0073431420979226e-05 9.01571196338795e-06 7.971227696152837e-06 6.961792860436991e-06 6.00442273743056e-06 5.110145946092131e-06
430.08979 1.4388216805751773e-05 1.336167649066654e-05 1.2236280798969862e-05 1.1058816517968478e-05 9.864550237824007e-06 8.679424375611288e-06 7.532215089146805e-06 6.4441409285667685e-06 5.432243266907996e-06
430.09065 1.596905544964902e-05 1.4781257684032178e-05 1.3474049128579719e-05 1.2117812373134343e-05 1.0752178002250665e-05 9.404859940608309e-06 8.107111509648892e-06 6.880392031520321e-06 5.7440161491844385e-06
430.09151 1.7816561283183865e-05 1.633470430045795e-05 1.477143357858248e-05 1.3193807009375924e-05 1.1633881500444445e-05 1.0114438335709887e-05 8.66502638753914e-06 7.304192850196628e-06 6.050640864446472e-06
430.09237 1.9606615745025797e-05 1.7791074083290127e-05 1.5961625235523208e-05 1.416387875134411e-05 1.2419062152395888e-05 1.074309064656226e-05 9.162077714815528e-06 7.690184074050496e-06 6.3435118369689045e-06
430.09323 2.097861484661377e-05 1.8888736600263087e-05 1.6848991816474055e-05 1.4880667025206553e-05 1.2997007680432604e-05 1.1208705988838796e-05 9.53874805059793e-06 7.997080372578947e-06 6.596304176501205e-06
430.09409 2.169915483794253e-05 1.9441979434371374e-05 1.728464724648657e-05 1.5226587934458945e-05 1.3275980057655501e-05 1.1440255026937586e-05 9.739830942409428e-06 8.181323747250527e-06 6.773768186241377e-06
430.09495 2.168965659436483e-05 1.9377441824988834e-05 1.7203956068764472e-05 1.514781530403421e-05 1.3212112939317913e-05 1.1401780811670797e-05 9.734557906696946e-06 8.214633856057678e-06 6.847481004042812e-06
430.09581 2.0981002820670463e-05 1.871869367231724e-05 1.6625506536182127e-05 1.4659062711035115e-05 1.28166077529424e-05 1.110046101837787e-05 9.52540071015744e-06 8.093767963103097e-06 6.8071516765949765e-06
430.09667 1.9675456502749492e-05 1.756227709710727e-05 1.5634241780300147e-05 1.3831741605206857e-05 1.2147273066091397e-05 1.0581076235403308e-05 9.1450668679502e-06 7.840015193471797e-06 6.6625674847231685e-06
430.09753 1.793699175907234e-05 1.6057763458765854e-05 1.435999528726713e-05 1.2774692974728071e-05 1.1292517070121337e-05 9.913246940368598e-06 8.646384338109088e-06 7.491288355108379e-06 6.4385041479366424e-06
430.09839 1.5974097061608533e-05 1.4382907840843884e-05 1.2951818205786129e-05 1.1610698272420053e-05 1.0351520253898956e-05 9.175102937566546e-06 8.089181417799454e-06 7.091690770157707e-06 6.166805973079838e-06
430.09925 1.3999693994813513e-05 1.2711294800326705e-05 1.1550686398487275e-05 1.0453640761262647e-05 9.415338504489718e-06 8.438153607593436e-06 7.528318717002934e-06 6.682252551879548e-06 5.878450095412963e-06
430.10011 1.2188225233716578e-05 1.1181520559895511e-05 1.0267340983070393e-05 9.392057870169664e-06 8.554219842545676e-06 7.757364784195631e-06 7.006065755347021e-06 6.2950916862069714e-06 5.598605246443602e-06
430.10097 1.0650803048195637e-05 9.88079400143881e-06 9.171835399678698e-06 8.482220958272195e-06 7.812963768942513e-06 7.167895826609631e-06 6.549738973032142e-06 5.951555099455856e-06 5.3446490367261495e-06
430.10183 9.434613079639039e-06 8.846964627147243e-06 8.295912849915996e-06 7.750542188048993e-06 7.213142642589831e-06 6.687119662594764e-06 6.173317851960503e-06 5.6632685233531584e-06 5.126750951314478e-06
430.1027 8.54035813567893e-06 8.082376652484297e-06 7.643543635911715e-06 7.201659499623026e-06 6.759419373407488e-06 6.31949781620212e-06 5.881147541136915e-06 5.434765273586695e-06 4.949791422542751e-06
430.10356 7.94444344463493e-06 7.57060167104814e-06 7.203490787931152e-06 6.827899959145792e-06 6.446674859532524e-06 6.061921529994445e-06 5.671880456526105e-06 5.266414952662585e-06 4.8154528688468005e-06
430.10442 7.617570954248958e-06 7.290106508778968e-06 6.959617553043104e-06 6.617141536941529e-06 6.266013794605116e-06 5.9082607758093116e-06 5.541841800060273e-06 5.156692302721093e-06 4.723886582860133e-06
430.10528 7.535728265353662e-06 7.222245216643192e-06 6.897043888209944e-06 6.557591326868613e-06 6.20834362289683e-06 5.85192795014122e-06 5.486788272113467e-06 5.103481164454813e-06 4.674440701793237e-06
430.10614 7.683544118288162e-06 7.353581710678443e-06 7.00399296200723e-06 6.639167014987758e-06 6.265422260739308e-06 5.886650589556029e-06 5.502453734321945e-06 5.104240525638843e-06 4.665747728294384e-06
430.107 8.051263884101209e-06 7.673782047569558e-06 7.2700626046519015e-06 6.8520653811681925e-06 6.4286840590234355e-06 6.005561179026601e-06 5.583836625922234e-06 5.155697452372715e-06 4.695632430711804e-06
430.10786 8.628536233823657e-06 8.170372216312959e-06 7.681795438362362e-06 7.183200916604867e-06 6.686536264879696e-06 6.19923799945061e-06 5.723888648914084e-06 5.252975713594403e-06 4.760865749684056e-06
430.10872 9.39581094241832e-06 8.820998863676213e-06 8.216419306666458e-06 7.611566356969782e-06 7.021060271243706e-06 6.45346912532748e-06 5.912081371050772e-06 5.388814086200474e-06 4.856728916162483e-06
430.10958 1.03122286843299e-05 9.58378344172794e-06 8.835108455746875e-06 8.103753799387202e-06 7.405147823088595e-06 6.747376854298811e-06 6.133217061977721e-06 5.552709733351788e-06 4.976537785282059e-06
430.11044 1.1301511959266234e-05 1.0388674645094087e-05 9.478450723352673e-06 8.611655642136382e-06 7.801266056644298e-06 7.052749369497409e-06 6.366715546867449e-06 5.730316338717172e-06 5.110966073383601e-06
