# M0 100G vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04  i03    
1.5550e+02 1.7395e-13 1.5562e-13 1.5162e-13 1.4870e-13 1.4882e-13 1.5333e-13 1.6383e-13 1.8562e-13 2.3207e-13
1.5650e+02 1.9453e-13 1.7463e-13 1.7032e-13 1.6768e-13 1.6830e-13 1.7404e-13 1.8669e-13 2.1213e-13 2.6597e-13
1.5750e+02 2.1683e-13 1.9038e-13 1.8520e-13 1.8097e-13 1.7987e-13 1.8431e-13 1.9447e-13 2.1759e-13 2.6943e-13
1.5850e+02 2.5087e-13 2.2047e-13 2.1397e-13 2.0933e-13 2.0778e-13 2.1307e-13 2.2481e-13 2.5157e-13 3.1138e-13
1.5950e+02 2.8387e-13 2.4971e-13 2.4251e-13 2.3764e-13 2.3623e-13 2.4217e-13 2.5627e-13 2.8728e-13 3.5655e-13
1.6050e+02 3.2323e-13 2.8529e-13 2.7710e-13 2.7184e-13 2.7000e-13 2.7693e-13 2.9335e-13 3.2958e-13 4.0914e-13
1.6150e+02 3.6457e-13 3.2323e-13 3.1423e-13 3.0872e-13 3.0708e-13 3.1532e-13 3.3481e-13 3.7685e-13 4.6874e-13
1.6250e+02 3.9423e-13 3.4758e-13 3.3802e-13 3.3126e-13 3.2877e-13 3.3708e-13 3.5693e-13 4.0097e-13 5.0072e-13
1.6350e+02 4.4758e-13 3.9738e-13 3.8748e-13 3.8081e-13 3.7898e-13 3.8921e-13 4.1248e-13 4.6367e-13 5.7800e-13
1.6450e+02 5.2893e-13 4.6634e-13 4.5549e-13 4.4732e-13 4.4429e-13 4.5542e-13 4.8176e-13 5.3973e-13 6.6990e-13
1.6550e+02 5.4393e-13 4.8875e-13 4.7857e-13 4.7297e-13 4.7421e-13 4.8989e-13 5.2285e-13 5.9069e-13 7.4104e-13
1.6650e+02 6.5704e-13 5.8438e-13 5.7262e-13 5.6462e-13 5.6418e-13 5.8096e-13 6.1744e-13 6.9407e-13 8.6382e-13
1.6720e+02 6.5975e-13 5.9770e-13 5.8560e-13 5.7887e-13 5.8148e-13 6.0183e-13 6.4311e-13 7.2848e-13 9.1502e-13
1.6770e+02 2.9179e-13 2.5579e-13 2.4284e-13 2.3443e-13 2.2867e-13 2.2816e-13 2.3237e-13 2.4639e-13 2.8613e-13
1.6850e+02 3.3068e-13 2.8743e-13 2.7303e-13 2.6325e-13 2.5646e-13 2.5587e-13 2.6037e-13 2.7528e-13 3.1772e-13
1.6950e+02 3.8175e-13 3.3056e-13 3.1363e-13 3.0194e-13 2.9355e-13 2.9234e-13 2.9690e-13 3.1312e-13 3.6167e-13
1.7050e+02 4.2696e-13 3.7086e-13 3.5165e-13 3.3850e-13 3.2915e-13 3.2787e-13 3.3304e-13 3.5134e-13 4.0502e-13
1.7150e+02 3.9487e-13 3.4771e-13 3.2920e-13 3.1479e-13 3.0394e-13 2.9992e-13 2.9987e-13 3.1073e-13 3.4834e-13
1.7250e+02 4.5632e-13 4.0045e-13 3.7919e-13 3.6309e-13 3.5049e-13 3.4527e-13 3.4547e-13 3.5692e-13 3.9906e-13
1.7350e+02 5.0866e-13 4.4897e-13 4.2580e-13 4.0826e-13 3.9439e-13 3.8885e-13 3.8900e-13 4.0154e-13 4.4954e-13
1.7450e+02 5.9072e-13 5.1898e-13 4.9339e-13 4.7169e-13 4.5664e-13 4.4972e-13 4.4905e-13 4.6355e-13 5.1580e-13
1.7550e+02 6.6343e-13 5.8253e-13 5.5182e-13 5.2891e-13 5.1085e-13 5.0326e-13 5.0252e-13 5.1858e-13 5.7850e-13
1.7650e+02 7.4670e-13 6.5737e-13 6.2470e-13 5.9832e-13 5.7974e-13 5.7076e-13 5.7090e-13 5.8897e-13 6.5705e-13
1.7750e+02 8.2022e-13 7.2619e-13 6.9045e-13 6.6253e-13 6.4115e-13 6.3416e-13 6.3367e-13 6.5522e-13 7.3097e-13
1.7850e+02 9.5373e-13 8.4504e-13 8.0451e-13 7.7286e-13 7.4907e-13 7.3979e-13 7.3817e-13 7.6086e-13 8.4335e-13
1.7950e+02 1.0348e-12 9.2142e-13 8.7442e-13 8.4131e-13 8.1409e-13 8.0255e-13 8.0650e-13 2.3611e-12 9.1884e-13
1.8050e+02 1.1955e-12 1.0638e-12 1.0142e-12 9.7600e-13 9.4560e-13 9.3407e-13 9.3128e-13 9.5965e-13 1.0665e-12
1.8150e+02 1.2992e-12 1.1611e-12 1.1038e-12 1.0615e-12 1.0326e-12 1.0209e-12 1.0204e-12 1.0530e-12 1.1739e-12
1.8250e+02 1.4909e-12 1.3333e-12 1.2713e-12 1.2208e-12 1.1879e-12 1.1714e-12 1.1696e-12 1.2053e-12 1.3397e-12
1.8350e+02 1.6400e-12 1.4683e-12 1.3962e-12 1.3449e-12 1.3073e-12 1.2901e-12 1.2905e-12 1.3315e-12 1.4825e-12
1.8450e+02 1.8193e-12 1.6415e-12 1.5674e-12 1.5148e-12 1.4781e-12 1.4601e-12 1.4635e-12 1.5117e-12 1.6764e-12
1.8550e+02 2.0208e-12 1.8145e-12 1.7279e-12 1.6671e-12 1.6230e-12 1.6041e-12 1.6083e-12 1.6621e-12 1.8457e-12
1.8650e+02 2.2836e-12 2.0609e-12 1.9671e-12 1.9001e-12 1.8504e-12 1.8290e-12 1.8351e-12 1.8910e-12 2.0981e-12
1.8750e+02 2.4824e-12 2.2411e-12 2.1382e-12 2.0622e-12 2.0102e-12 1.9855e-12 1.9888e-12 2.0479e-12 2.2686e-12
1.8850e+02 2.7617e-12 2.5050e-12 2.3880e-12 2.3086e-12 2.2488e-12 2.2246e-12 2.2271e-12 2.2966e-12 2.5406e-12
1.8950e+02 3.0953e-12 2.8077e-12 2.6746e-12 2.5846e-12 2.5186e-12 2.4867e-12 2.4872e-12 2.5627e-12 2.8342e-12
1.9050e+02 3.4064e-12 3.0922e-12 2.9536e-12 2.8581e-12 2.7857e-12 2.7519e-12 2.7616e-12 2.8480e-12 3.1481e-12
1.9150e+02 3.8063e-12 3.4727e-12 3.3192e-12 3.2153e-12 3.1291e-12 3.0922e-12 3.0910e-12 3.1862e-12 3.5149e-12
1.9250e+02 4.1205e-12 3.7566e-12 3.5959e-12 3.4734e-12 3.3831e-12 3.3387e-12 3.3362e-12 3.4345e-12 3.7707e-12
1.9350e+02 4.3885e-12 4.0080e-12 3.8426e-12 3.7298e-12 3.6539e-12 3.6315e-12 3.6558e-12 3.7940e-12 4.2136e-12
1.9450e+02 5.0841e-12 4.6478e-12 4.4552e-12 4.3181e-12 4.2123e-12 4.1696e-12 4.1804e-12 4.3175e-12 4.7747e-12
1.9550e+02 5.7047e-12 5.2342e-12 5.0212e-12 4.8668e-12 4.7502e-12 4.7023e-12 4.7130e-12 4.8598e-12 5.3607e-12
1.9670e+02 6.3751e-12 5.8484e-12 5.6089e-12 5.4445e-12 5.3088e-12 5.2493e-12 5.2539e-12 5.4162e-12 5.9781e-12
1.9760e+02 7.0216e-12 6.4282e-12 6.1660e-12 5.9939e-12 5.8546e-12 5.8024e-12 5.8101e-12 5.9986e-12 6.6177e-12
1.9840e+02 7.4512e-12 6.8673e-12 6.5943e-12 6.3961e-12 6.2581e-12 6.1832e-12 6.1878e-12 6.3696e-12 7.0102e-12
1.9950e+02 8.1285e-12 7.5039e-12 7.2028e-12 7.0004e-12 6.8495e-12 6.7783e-12 6.7975e-12 7.0151e-12 7.7364e-12
2.0050e+02 8.9545e-12 8.2844e-12 7.9762e-12 7.7498e-12 7.5889e-12 7.5246e-12 7.5561e-12 7.8049e-12 8.6052e-12
2.0150e+02 9.8364e-12 9.1075e-12 8.7801e-12 8.5234e-12 8.3533e-12 8.2804e-12 8.3185e-12 8.5946e-12 9.4695e-12
2.0250e+02 1.0582e-11 9.8253e-12 9.4638e-12 9.2124e-12 9.0451e-12 8.9780e-12 9.0516e-12 9.3642e-12 1.0347e-11
2.0350e+02 1.1738e-11 1.0910e-11 1.0523e-11 1.0233e-11 1.0031e-11 9.9585e-12 1.0012e-11 1.0357e-11 1.1428e-11
2.0450e+02 1.2777e-11 1.1905e-11 1.1474e-11 1.1160e-11 1.0940e-11 1.0867e-11 1.0924e-11 1.1294e-11 1.2457e-11
2.0550e+02 1.4078e-11 1.3120e-11 1.2652e-11 1.2323e-11 1.2084e-11 1.2003e-11 1.2090e-11 1.2518e-11 1.3808e-11
2.0650e+02 1.5239e-11 1.4207e-11 1.3699e-11 1.3371e-11 1.3129e-11 1.3061e-11 1.3157e-11 1.3656e-11 1.5075e-11
2.0740e+02 1.6046e-11 1.4959e-11 1.4426e-11 1.4046e-11 1.3770e-11 1.3679e-11 1.3738e-11 1.4201e-11 1.5592e-11
2.0780e+02 1.9433e-11 1.8615e-11 1.8116e-11 1.7636e-11 1.7170e-11 1.6696e-11 1.6138e-11 1.5478e-11 1.5183e-11
2.0850e+02 2.1014e-11 2.0158e-11 1.9663e-11 1.9183e-11 1.8721e-11 1.8229e-11 1.7662e-11 1.6947e-11 1.6557e-11
2.0950e+02 2.3751e-11 2.2825e-11 2.2293e-11 2.1801e-11 2.1325e-11 2.0790e-11 2.0167e-11 1.9314e-11 1.8684e-11
